
Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (229)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K27me3_ZDNA.intersect_with_DeepZ.genes_uniq.txt (FDR)
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	18	5.59	+	3.22	2.00E-05	3.80E-03
regulation of ion transport (GO:0043269)	703	25	7.82	+	3.20	5.08E-07	2.17E-04
cell projection morphogenesis (GO:0048858)	507	18	5.64	+	3.19	2.21E-05	3.97E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	16	5.04	+	3.18	6.75E-05	9.61E-03
cell adhesion (GO:0007155)	953	33	10.60	+	3.11	1.18E-08	9.32E-06
embryonic organ development (GO:0048568)	435	15	4.84	+	3.10	1.47E-04	1.65E-02
biological adhesion (GO:0022610)	959	33	10.66	+	3.09	1.37E-08	1.03E-05
cellular component morphogenesis (GO:0032989)	611	21	6.79	+	3.09	7.24E-06	1.71E-03
cell part morphogenesis (GO:0032990)	526	18	5.85	+	3.08	3.52E-05	5.98E-03
negative regulation of cell differentiation (GO:0045596)	644	22	7.16	+	3.07	4.77E-06	1.26E-03
regulation of cell development (GO:0060284)	500	17	5.56	+	3.06	6.29E-05	9.12E-03
gland development (GO:0048732)	414	14	4.60	+	3.04	2.95E-04	2.83E-02
tube morphogenesis (GO:0035239)	654	22	7.27	+	3.03	6.03E-06	1.51E-03
neuron differentiation (GO:0030182)	1043	35	11.60	+	3.02	8.70E-09	7.24E-06
neuron projection development (GO:0031175)	691	23	7.68	+	2.99	4.34E-06	1.18E-03
axon development (GO:0061564)	421	14	4.68	+	2.99	3.48E-04	3.14E-02
neuron development (GO:0048666)	846	28	9.41	+	2.98	4.09E-07	1.79E-04
circulatory system development (GO:0072359)	877	29	9.75	+	2.97	2.53E-07	1.25E-04
chemotaxis (GO:0006935)	547	18	6.08	+	2.96	5.74E-05	8.72E-03
taxis (GO:0042330)	550	18	6.12	+	2.94	6.14E-05	9.07E-03
neurogenesis (GO:0022008)	1391	45	15.47	+	2.91	1.38E-10	3.13E-07
behavior (GO:0007610)	557	18	6.19	+	2.91	7.17E-05	1.00E-02
generation of neurons (GO:0048699)	1271	41	14.13	+	2.90	1.16E-09	1.41E-06
cell morphogenesis involved in differentiation (GO:0000904)	559	18	6.22	+	2.90	7.49E-05	1.03E-02
regulation of membrane potential (GO:0042391)	437	14	4.86	+	2.88	4.98E-04	4.17E-02
tube development (GO:0035295)	856	27	9.52	+	2.84	1.63E-06	5.73E-04
epithelium development (GO:0060429)	1113	35	12.38	+	2.83	4.19E-08	2.76E-05
negative regulation of cell population proliferation (GO:0008285)	703	22	7.82	+	2.81	1.79E-05	3.58E-03
cell-cell adhesion (GO:0098609)	515	16	5.73	+	2.79	2.78E-04	2.70E-02
anatomical structure morphogenesis (GO:0009653)	2158	67	24.00	+	2.79	6.30E-15	9.96E-11
regulation of cell differentiation (GO:0045595)	1586	49	17.64	+	2.78	8.32E-11	2.63E-07
regulation of multicellular organismal development (GO:2000026)	1332	41	14.81	+	2.77	4.33E-09	4.03E-06
cell morphogenesis (GO:0000902)	715	22	7.95	+	2.77	2.30E-05	3.99E-03
regulation of body fluid levels (GO:0050878)	494	15	5.49	+	2.73	5.42E-04	4.37E-02
cell junction organization (GO:0034330)	502	15	5.58	+	2.69	6.36E-04	4.91E-02
embryonic morphogenesis (GO:0048598)	570	17	6.34	+	2.68	2.85E-04	2.75E-02
positive regulation of cell population proliferation (GO:0008284)	939	28	10.44	+	2.68	2.95E-06	8.64E-04
cell development (GO:0048468)	1646	49	18.30	+	2.68	2.88E-10	5.06E-07
response to wounding (GO:0009611)	543	16	6.04	+	2.65	4.88E-04	4.15E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	883	26	9.82	+	2.65	8.51E-06	1.92E-03
cell migration (GO:0016477)	968	28	10.76	+	2.60	5.16E-06	1.34E-03
tissue development (GO:0009888)	1729	50	19.23	+	2.60	4.81E-10	6.91E-07
embryo development (GO:0009790)	991	28	11.02	+	2.54	7.90E-06	1.84E-03
regulation of cellular component movement (GO:0051270)	1032	29	11.48	+	2.53	5.94E-06	1.51E-03
epithelial cell differentiation (GO:0030855)	686	19	7.63	+	2.49	3.11E-04	2.93E-02
positive regulation of kinase activity (GO:0033674)	614	17	6.83	+	2.49	6.47E-04	4.97E-02
brain development (GO:0007420)	759	21	8.44	+	2.49	1.52E-04	1.68E-02
head development (GO:0060322)	803	22	8.93	+	2.46	1.21E-04	1.41E-02
positive regulation of cell differentiation (GO:0045597)	840	23	9.34	+	2.46	8.52E-05	1.14E-02
negative regulation of developmental process (GO:0051093)	879	24	9.77	+	2.46	9.88E-05	1.24E-02
regulation of cell motility (GO:2000145)	954	26	10.61	+	2.45	4.61E-05	7.44E-03
regulation of locomotion (GO:0040012)	997	27	11.09	+	2.44	3.31E-05	5.69E-03
regulation of cell migration (GO:0030334)	892	24	9.92	+	2.42	1.09E-04	1.32E-02
plasma membrane bounded cell projection organization (GO:0120036)	1175	31	13.07	+	2.37	1.05E-05	2.25E-03
cell projection organization (GO:0030030)	1221	32	13.58	+	2.36	8.24E-06	1.89E-03
regulation of cell population proliferation (GO:0042127)	1654	43	18.39	+	2.34	2.63E-07	1.26E-04
regulation of transport (GO:0051049)	1772	45	19.70	+	2.28	2.01E-07	1.03E-04
positive regulation of transport (GO:0051050)	947	24	10.53	+	2.28	2.04E-04	2.08E-02
locomotion (GO:0040011)	1345	34	14.96	+	2.27	1.06E-05	2.22E-03
localization of cell (GO:0051674)	1109	28	12.33	+	2.27	9.13E-05	1.18E-02
cell motility (GO:0048870)	1109	28	12.33	+	2.27	9.13E-05	1.17E-02
movement of cell or subcellular component (GO:0006928)	1596	40	17.75	+	2.25	1.53E-06	5.50E-04
cell-cell signaling (GO:0007267)	1131	28	12.58	+	2.23	1.06E-04	1.29E-02
negative regulation of multicellular organismal process (GO:0051241)	1014	25	11.27	+	2.22	3.06E-04	2.90E-02
negative regulation of apoptotic process (GO:0043066)	895	22	9.95	+	2.21	5.53E-04	4.42E-02
nervous system development (GO:0007399)	2218	54	24.66	+	2.19	4.30E-08	2.72E-05
central nervous system development (GO:0007417)	1000	24	11.12	+	2.16	5.23E-04	4.27E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	29	13.48	+	2.15	1.15E-04	1.37E-02
regulation of localization (GO:0032879)	2753	65	30.61	+	2.12	4.07E-09	4.02E-06
regulation of developmental process (GO:0050793)	2461	56	27.36	+	2.05	1.95E-07	1.03E-04
animal organ development (GO:0048513)	3220	73	35.80	+	2.04	1.34E-09	1.51E-06
regulation of multicellular organismal process (GO:0051239)	2673	60	29.72	+	2.02	1.01E-07	5.69E-05
cell differentiation (GO:0030154)	3575	80	39.75	+	2.01	2.22E-10	4.38E-07
cellular developmental process (GO:0048869)	3634	80	40.41	+	1.98	5.21E-10	6.86E-07
system development (GO:0048731)	4330	94	48.15	+	1.95	9.65E-12	5.09E-08
positive regulation of cell communication (GO:0010647)	1755	37	19.51	+	1.90	1.93E-04	2.02E-02
positive regulation of signaling (GO:0023056)	1761	37	19.58	+	1.89	2.00E-04	2.06E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	34	18.10	+	1.88	4.88E-04	4.19E-02
positive regulation of transcription, DNA-templated (GO:0045893)	1628	34	18.10	+	1.88	4.88E-04	4.17E-02
positive regulation of RNA biosynthetic process (GO:1902680)	1629	34	18.11	+	1.88	4.90E-04	4.14E-02
multicellular organism development (GO:0007275)	4941	101	54.94	+	1.84	4.98E-11	1.97E-07
anatomical structure development (GO:0048856)	5330	105	59.27	+	1.77	1.01E-10	2.66E-07
regulation of transcription by RNA polymerase II (GO:0006357)	2595	51	28.85	+	1.77	5.40E-05	8.29E-03
developmental process (GO:0032502)	5797	110	64.46	+	1.71	3.03E-10	4.79E-07
multicellular organismal process (GO:0032501)	6926	122	77.01	+	1.58	1.46E-09	1.54E-06
regulation of signal transduction (GO:0009966)	3128	55	34.78	+	1.58	5.73E-04	4.53E-02
regulation of cell communication (GO:0010646)	3509	61	39.02	+	1.56	2.77E-04	2.70E-02
regulation of signaling (GO:0023051)	3545	61	39.42	+	1.55	4.04E-04	3.55E-02
positive regulation of cellular process (GO:0048522)	5741	98	63.84	+	1.54	1.76E-06	5.93E-04
positive regulation of biological process (GO:0048518)	6331	103	70.40	+	1.46	7.16E-06	1.72E-03
regulation of cellular process (GO:0050794)	11351	155	126.21	+	1.23	1.31E-04	1.51E-02
regulation of biological process (GO:0050789)	11898	160	132.30	+	1.21	2.03E-04	2.08E-02
biological regulation (GO:0065007)	12568	165	139.75	+	1.18	6.25E-04	4.84E-02
heterocycle metabolic process (GO:0046483)	2891	14	32.15	-	.44	2.39E-04	2.39E-02
nucleobase-containing compound metabolic process (GO:0006139)	2705	13	30.08	-	.43	3.51E-04	3.14E-02
cellular aromatic compound metabolic process (GO:0006725)	2937	14	32.66	-	.43	1.77E-04	1.90E-02
RNA processing (GO:0006396)	930	0	10.34	-	 < 0.01	6.29E-05	9.04E-03
